concept_id,reading,category,voice,test_type,verdict,n,diff,ci_lo,ci_hi,p,q_bh,holm,verified,deepdive_label,summary,result_path,script
a-plus-entry-checklist,a,entry,own,trade,UNDERPOWERED,882,-0.0223568,-0.12213,0.0713341,0.6506,0.8555,keep,,,"Later version, where the stop raid is a hard gate. 5m setup: raid of a swing low or high, then a structure break with displacement (threshold_fits 4 bars, r=1.5, d=0.65), then an unmitigated FVG in the discount or premium half of the move.",concept_campaign/results/a-plus-entry-checklist__a.json,concept_campaign/tests/entry_own_03a/a-plus-entry-checklist.py
a-plus-entry-checklist,b,entry,own,trade,UNDERPOWERED,1234,-0.00514155,-0.0883813,0.0767171,0.9028,0.9709,keep,,,"Earlier version, where the raid can be replaced by the move's origin trading into a completed 1H FVG from the prior 5 days. Otherwise the same as reading a. Result -0.005R [-0.088, +0.077], MDE 0.118. UNDERPOWERED.",concept_campaign/results/a-plus-entry-checklist__b.json,concept_campaign/tests/entry_own_03a/a-plus-entry-checklist.py
add-to-winners-timeframe-cascade,,risk,guest,trade,NULL,3385,-0.0065708,-0.0337769,0.0207743,0.6368,0.8433,keep,,,"The add itself: a same-direction 30m STRAT 2-2 trigger inside the 30m bar where a winning 15m 2-2 (with 1D+1h continuity) hit its magnitude target. 30m stop and magnitude target, 5h hold. Result -0.007R [-0.034, +0.021] vs matched control. Powered NULL. Only the 15m-to-30m rung was tested.",concept_campaign/results/add-to-winners-timeframe-cascade.json,concept_campaign/tests/risk_guest_01b/add-to-winners-timeframe-cascade.py
adr-remaining-filter,a,risk,guest,gate,NULL,71128,-0.00546954,-0.0216871,0.0108206,0.5095,0.7691,keep,,,"Gate on the phase-3 5m CISD book (2R, 50 min): keep trades whose target distance is at most 1.3x the ADR the day has left (126-day ADR). Gated 71k trades vs 22k complement: -0.005R [-0.022, +0.011]. Powered NULL.",concept_campaign/results/adr-remaining-filter__a.json,concept_campaign/tests/risk_guest_01b/adr-remaining-filter.py
adr-remaining-filter,b,risk,guest,trade,NULL,1080,0.02007,-0.0380817,0.0802634,0.5062,0.7677,keep,,,"'Beyond the ADR means reversal': fade the extension at the first M1 close each day where the day's range reaches the ADR (stop 0.25 ADR, 1R, 4h, control matched on time of day). Result +0.020R [-0.038, +0.080] vs matched random entries. Powered NULL.",concept_campaign/results/adr-remaining-filter__b.json,concept_campaign/tests/risk_guest_01b/adr-remaining-filter.py
advanced-market-structure-labeling,a,structure,own,trade,EDGE,86190,0.00961238,0.00231504,0.0173211,0.01204,0.1084,keep,refuted_faithfulness,,Refuted (faithfulness): any 3-bar swing does better (+0.023R); the faithful reading b is NULL.,concept_campaign/results/advanced-market-structure-labeling__a.json,concept_campaign/tests/structure_own_03a/advanced-market-structure-labeling.py
advanced-market-structure-labeling,b,structure,own,trade,NULL,39854,0.00829845,-0.00315796,0.0194844,0.1508,0.4478,keep,,,"Same book as reading a, but the ITH bar must sweep the prior STH (trade above it, then close back below it), as in the narrated chart procedure. Powered NULL (+0.008R).",concept_campaign/results/advanced-market-structure-labeling__b.json,concept_campaign/tests/structure_own_03a/advanced-market-structure-labeling.py
aggressive-expansion-no-retracement,,structure,own,gate,NULL,7184,0.0122368,-0.0189269,0.0434088,0.4416,0.7269,keep,,,"15m closes through a 2/2 STH/STL, entered at the open after the 4-candle window, stop at the 50% retracement of the leg, 1R. Gate = aggressive by the threshold_fits magnitude test (1.5/0.65), which passed on 41% of breaks. Aggressive breaks do not retrace less. Powered NULL.",concept_campaign/results/aggressive-expansion-no-retracement.json,concept_campaign/tests/structure_own_03a/aggressive-expansion-no-retracement.py
aggressive-run-hammer-signature,,structure,own,trade,EDGE,64574,0.0472675,0.0355341,0.0585675,8.681e-16,0,reject,upheld,ARTEFACT,"Deep dive: vs a generic faded 3-bar mini-sweep with a wick stop the diff is +0.010 [-0.001,+0.020], H2 -0.007; edge lives in sub-1pt stops, gross ~0 at risk>=2pt, net -0.08 to -0.11R. Not tradeable.",concept_campaign/results/aggressive-run-hammer-signature.json,concept_campaign/tests/structure_own_05a/aggressive-run-hammer-signature.py
aligning-expansion-candles,a,model,own,gate,NULL,1998,0.00143153,-0.051474,0.0552333,0.9581,0.9831,keep,,,"Candle-3 stack gate (last closed daily AND last closed 4H bar are C2s in the trade direction) on the 15m rung-0 CISD book. Gated 1,998 vs complement 30,731: +0.001R [-0.051,+0.055]. Powered null.",concept_campaign/results/aligning-expansion-candles__a.json,concept_campaign/tests/model_own_02a/aligning-expansion-candles.py
